contraste,corr_ans,trigger,condition
.01,left,11,O
.07,right,22,O
.07,left,12,O
.07,right,22,O
.01,right,21,O
.15,left,13,O
.15,right,23,O
.01,right,21,O
.07,left,12,O
.15,left,13,O
.07,left,12,O
.01,right,21,O
.01,left,11,O
.01,right,21,O
.07,left,12,O
.15,right,23,O
.15,left,13,O
.07,right,22,O
.15,left,13,O
.07,right,22,O
.07,left,112,V
.01,right,121,V
.01,right,121,V
.07,right,122,V
.07,left,112,V
.07,right,122,V
.15,left,113,V
.15,left,113,V
.01,left,111,V
.15,right,123,V
.07,right,122,V
.01,left,111,V
.15,left,113,V
.07,left,112,V
.15,left,113,V
.07,right,122,V
.07,left,112,V
.01,right,121,V
.01,right,121,V
.15,right,123,V
.15,left,213,P
.01,right,221,P
.07,left,212,P
.15,left,213,P
.07,right,222,P
.07,left,212,P
.07,right,222,P
.01,right,221,P
.01,left,211,P
.15,right,223,P
.01,right,221,P
.15,left,213,P
.15,right,223,P
.01,left,211,P
.07,left,212,P
.07,right,222,P
.07,left,212,P
.07,right,222,P
.01,right,221,P
.15,left,213,P
.07,left,112,V
.15,right,123,V
.01,right,121,V
.01,right,121,V
.07,right,122,V
.07,right,122,V
.07,left,112,V
.15,left,113,V
.15,left,113,V
.01,left,111,V
.01,left,211,P
.07,right,222,P
.15,right,223,P
.15,left,213,P
.15,left,213,P
.01,right,221,P
.07,left,212,P
.07,right,222,P
.01,right,221,P
.07,left,212,P
