,x1,y1,yerr1b,yerr1u
0,0.8422939068100358,-0.0018448974492182473,0.11463302025043434,0.11152293494856441
1,0.984818805093046,0.5715154073768192,0.11936566149343042,0.11644569702361485
2,0.9306872037914692,0.08236487319579479,0.08543329069817818,0.079889604900291
3,0.9642857142857143,0.11529395425610678,0.1150362325809452,0.10855110775632457
4,0.9319294809010774,0.08576040003223032,0.10303454206114777,0.09962117705450771
5,0.891219512195122,-0.017247440139957534,0.09636942711573349,0.09267920769645957
6,0.9536159600997506,0.4272320810234136,0.12855728725576343,0.12523771017784913
7,0.922963689892051,0.08667973382245985,0.11769195878638684,0.11179954699449875
8,0.9753504108264862,0.42726289726521555,0.09757978371165776,0.09571165656045016
9,0.8854378818737271,0.22353778012943315,0.15876793943631828,0.1486884639616723
10,0.9460020768431984,0.20865959626306088,0.09124792334142058,0.0875674198958151
11,0.8939650310208686,0.10092790921139844,0.08115935146786288,0.07762975385779705
12,0.9559426229508197,0.4747024223137807,0.06380407939749844,0.06200066370438828
13,0.8950554994954592,0.3141119807267329,0.07342624957573593,0.06778057545881899
