,x2,y2
0,-1.0,0.0
1,-0.99,1.9230100233364208e-05
2,-0.98,3.8460200466728417e-05
3,-0.97,5.7690300700092625e-05
4,-0.96,7.692040093345683e-05
5,-0.95,9.615050116682105e-05
6,-0.94,0.00011538060140018525
7,-0.93,0.00013461070163354945
8,-0.92,0.00015384080186691345
9,-0.91,0.00017307090210027766
10,-0.9,0.00019230100233364188
11,-0.89,0.00021153110256700607
12,-0.88,0.00023076120280037028
13,-0.87,0.0002499913030337345
14,-0.86,0.0002692214032670987
15,-0.85,0.0002884515035004629
16,-0.84,0.0003076816037338271
17,-0.83,0.00032691170396719133
18,-0.82,0.00034614180420055533
19,-0.81,0.00036537190443391954
20,-0.8,0.00038460200466728376
21,-0.79,0.000403832104900648
22,-0.78,0.00042306220513401214
23,-0.77,0.0004422923053673764
24,-0.76,0.00046152240560074057
25,-0.75,0.0004807525058341047
26,-0.74,0.000499982606067469
27,-0.73,0.0005192127063008332
28,-0.72,0.0005384428065341974
29,-0.71,0.0005577077998071421
30,-0.7,0.0005769948025896026
31,-0.69,0.000596281805372063
32,-0.68,0.000615596007778217
33,-0.67,0.0006349770006995137
34,-0.66,0.0006544698737981269
35,-0.65,0.000674090472600839
36,-0.64,0.0006938216168904973
37,-0.63,0.0007137954224156205
38,-0.62,0.0007340011947243535
39,-0.61,0.0007548531989020977
40,-0.6,0.0007768045467610622
41,-0.59,0.0008001530661087093
42,-0.58,0.0008255583986707714
43,-0.57,0.0008537759718131181
44,-0.56,0.000885472639773488
45,-0.55,0.0009225947326538515
46,-0.54,0.0009658293382592267
47,-0.53,0.001016132950806322
48,-0.52,0.0010750863229866334
49,-0.51,0.0011447477902531045
50,-0.5,0.001228120849670514
51,-0.49,0.0013254361210254628
52,-0.48,0.0014383780165441633
53,-0.47,0.0015691096633998103
54,-0.46,0.0017188835809625541
55,-0.45,0.0018888252333165174
56,-0.44,0.0020806197427131697
57,-0.43,0.0022962051429734364
58,-0.42,0.002536568266351743
59,-0.41,0.0028043783098636306
60,-0.4,0.003104435971712357
61,-0.39,0.003437257013487669
62,-0.38,0.0038042724418147094
63,-0.37,0.00420842972226629
64,-0.36,0.004653286526747136
65,-0.35,0.005144961889742424
66,-0.34,0.005685577101475656
67,-0.33,0.006273284892023185
68,-0.32,0.00691828372170569
69,-0.31,0.00762659749391369
70,-0.3,0.008400683578074821
71,-0.29,0.009241335013329143
72,-0.28,0.010157893744743315
73,-0.27,0.011156776883106035
74,-0.26,0.01224540074560187
75,-0.25,0.013436019806848774
76,-0.24,0.014737562841628846
77,-0.23,0.016158537206288428
78,-0.22,0.01770588748590313
79,-0.21,0.019385315696244198
80,-0.2,0.021205673107686146
81,-0.19,0.02317506387796697
82,-0.18,0.025310739240036816
83,-0.17,0.027631626123814323
84,-0.16,0.030136328022820836
85,-0.15,0.03282932879399119
86,-0.14,0.035737174077347014
87,-0.13,0.03888048607644528
88,-0.12,0.04228029660066198
89,-0.11,0.045949386844409676
90,-0.1,0.04989315038214314
91,-0.09,0.05413271087328544
92,-0.08,0.058695657636422205
93,-0.07,0.06358614005854295
94,-0.0599999999999999,0.06883070071675061
95,-0.0499999999999999,0.07445775273715347
96,-0.04,0.08048684991583285
97,-0.03,0.08694587708623286
98,-0.02,0.09385929396200607
99,-0.01,0.10125765711264044
100,0.0,0.10914155931054516
101,0.01,0.11754034670597216
102,0.02,0.12652079456661194
103,0.03,0.13610027528063195
104,0.04,0.14627860968970754
105,0.05,0.15710736082482565
106,0.0600000000000001,0.16863174621048047
107,0.0700000000000001,0.18088243710184712
108,0.0800000000000001,0.19388062477428308
109,0.0900000000000001,0.2076568634109719
110,0.1,0.22224225939324385
111,0.11,0.23770778807301432
112,0.12,0.2540786444531733
113,0.13,0.2713832680846422
114,0.14,0.28963964431536665
115,0.15,0.30891169726468826
116,0.16,0.3292384395092618
117,0.17,0.3506546217768584
118,0.18,0.3731933954966842
119,0.19,0.39689137705100497
120,0.2,0.42177367279370265
121,0.21,0.44790297292638453
122,0.22,0.47530756779692557
123,0.23,0.5039853900703065
124,0.24,0.5340015643401478
125,0.25,0.5653638358589878
126,0.26,0.5981112505535067
127,0.27,0.6322596266642938
128,0.28,0.667818376823482
129,0.29,0.7048012199384062
130,0.3,0.743224733242377
131,0.31,0.7830789627444772
132,0.32,0.8243633317080478
133,0.33,0.8670749099405364
134,0.34,0.9111687646320882
135,0.35,0.9566399547750127
136,0.36,1.0034475808357788
137,0.37,1.0515262917562787
138,0.38,1.1008302571286281
139,0.39,1.1512820898517342
140,0.4,1.2027983183457902
141,0.41,1.255266823020854
142,0.42,1.3085902229955724
143,0.43,1.3626179764304691
144,0.44,1.4172144728651093
145,0.45,1.4721926201964517
146,0.46,1.5273851748704308
147,0.47,1.5825670193959251
148,0.48,1.6375193078308077
149,0.49,1.6919782761113922
150,0.5,1.7456743677033444
151,0.51,1.7983088921219488
152,0.52,1.8495587283381127
153,0.53,1.8990792777500363
154,0.54,1.9465012260617496
155,0.55,1.9914297337734765
156,0.56,2.033456641582149
157,0.57,2.072145132627591
158,0.58,2.1070410108428765
159,0.59,2.13768047111924
160,0.6,2.163590675015033
161,0.61,2.1842674665011286
162,0.62,2.1992386461194777
163,0.63,2.208003727078729
164,0.64,2.2100941198362016
165,0.65,2.2050436881006363
166,0.66,2.1924198987705363
167,0.67,2.1718368472398684
168,0.68,2.1429315268596008
169,0.69,2.1054322435405206
170,0.7,2.0591261975652344
171,0.71,2.003892866339223
172,0.72,1.9397173761177795
173,0.73,1.8667069185899796
