,x1_1,x1_2,y1_1,y1_2,yerr1_1b,yerr1_1u,yerr1_2b,yerr1_2u
0,102.45424645657418,92.2689800613497,297.8684531939459,275.43644471590665,8.549378073455955,8.48634853801633,6.0801742930573255,6.1211921781116985
1,81.90372637457045,80.59890056566104,277.52576649082766,279.94565117525605,4.988681407167405,4.88832808721952,3.527765845011686,3.5216163246179235
2,141.22440408027964,117.12510850694444,379.9740086924591,293.44588396511745,8.168144189976772,7.451604088738236,5.031856866142505,5.04988858882632
3,131.87953404017858,112.49410264201637,324.0805002388035,290.15861103097444,7.145359864042348,6.797597695935963,5.875935941616035,4.9729107017871
4,90.44252135008703,72.86421847635727,294.81110518971064,218.11721078794926,7.636375120815956,7.427233946147567,4.034635969916337,3.566039874828931
5,91.62608045212765,89.98884425044484,368.4447741181436,298.2398492856834,4.781494238768175,4.925196589494249,3.9326567513587065,4.467920710085252
6,126.30703260751521,107.31076113440616,341.26611541181836,297.5761199340235,6.317194602883092,6.125344419932844,4.504259343492606,3.6529429187420988
7,113.28758035328435,100.87544939159292,306.94523534731445,285.0420641082169,7.228680311617325,6.852835661847166,4.878650515577078,5.036778900533875
8,86.61416007271173,79.11176158616188,284.7191043469344,281.09312493066057,6.549236674892313,6.348036673010029,4.368180649553494,4.0640766891895055
9,100.42362794321329,92.10626382743362,309.0540832785971,302.80222278892836,8.91496881463246,8.088880844245352,5.154872869493886,5.83436764273722
10,162.4594079442771,127.5156365683613,370.7340312758635,299.63582792943606,7.568016011358623,7.236033269576922,4.833671991458914,5.120529972033637
11,163.72075039327203,137.98364035642064,329.2867309507944,309.2885322975186,7.797430307316347,7.272695836814762,5.050077030202033,5.386880614488575
12,161.6412600230668,111.92481111829727,379.64489729436815,315.88593509367945,7.894505133054281,7.962635056930651,5.013719614590286,4.125196392562771
13,134.0496788726994,115.34950186353211,373.065523693135,333.38857731084744,7.371596046059608,6.962932747641105,5.28830960563397,4.962733536295389
