,x3_1,x3_2,y3_1,y3_2
0,-1.0,-1.0,0.0,0.0
1,-0.99,-0.99,1.9476013990522206e-05,1.9122453473911024e-05
2,-0.98,-0.98,3.895202798104441e-05,3.824490694782205e-05
3,-0.97,-0.97,5.8428041971566614e-05,5.7367360421733076e-05
4,-0.96,-0.96,7.790405596208882e-05,7.64898138956441e-05
5,-0.95,-0.95,9.738006995261102e-05,9.561226736955512e-05
6,-0.94,-0.94,0.00011685608394313323,0.00011473472084346615
7,-0.93,-0.93,0.00013633209793365543,0.00013385717431737716
8,-0.92,-0.92,0.00015580811192417743,0.00015297962779128798
9,-0.91,-0.91,0.00017528412591469964,0.00017210208126519898
10,-0.9,-0.9,0.00019476013990522186,0.00019122453473911002
11,-0.89,-0.89,0.00021423615389574405,0.00021034698821302103
12,-0.88,-0.88,0.00023371216788626624,0.00022946944168693209
13,-0.87,-0.87,0.0002531881818767884,0.00024859189516084307
14,-0.86,-0.86,0.00027266419586731064,0.0002677143486347541
15,-0.85,-0.85,0.00029214020985783286,0.00028683680210866514
16,-0.84,-0.84,0.0003116162238483551,0.00030595925558257617
17,-0.83,-0.83,0.00033109223783887724,0.00032508170905648715
18,-0.82,-0.82,0.0003505682518293993,0.00034420416253039797
19,-0.81,-0.81,0.00037004426581992145,0.00036332661600430906
20,-0.8,-0.8,0.0003895202798104437,0.00038244906947822004
21,-0.79,-0.79,0.0004089962938009659,0.00040157152295213107
22,-0.78,-0.78,0.0004284723077914881,0.00042069397642604205
23,-0.77,-0.77,0.00044794832178201026,0.0004398164298999531
24,-0.76,-0.76,0.0004674243357725325,0.00045893888337386417
25,-0.75,-0.75,0.00048690034976305464,0.00047806133684777515
26,-0.74,-0.74,0.0005063763637535769,0.0004971837903216861
27,-0.73,-0.73,0.0005258523777440991,0.0005163062437955971
28,-0.72,-0.72,0.0005453283917346213,0.0005354286972695082
29,-0.71,-0.71,0.0005648044057251435,0.0005545511507434193
30,-0.7,-0.7,0.0005842804197156657,0.0005736736042173303
31,-0.69,-0.69,0.0006037564337061879,0.0005927960576912414
32,-0.68,-0.68,0.0006232324476967101,0.0006119185111651523
33,-0.67,-0.67,0.0006427084616872323,0.0006310409646390633
34,-0.66,-0.66,0.0006621844756777545,0.0006501634181129743
35,-0.65,-0.65,0.0006816604896682768,0.0006692858715868854
36,-0.64,-0.64,0.0007011365036587987,0.0006884083250607962
37,-0.63,-0.63,0.0007206125176493209,0.0007075307785347072
38,-0.62,-0.62,0.0007400885316398431,0.0007266532320086182
39,-0.61,-0.61,0.0007595645456303653,0.0007457756854825292
40,-0.6,-0.6,0.0007790405596208875,0.0007648981389564403
41,-0.59,-0.59,0.0007985165736114098,0.0007840205924303513
42,-0.58,-0.58,0.0008179925876019318,0.0008031430459042621
43,-0.57,-0.57,0.000837468601592454,0.000822265499378173
44,-0.56,-0.56,0.0008569446155829762,0.0008413879528520841
45,-0.55,-0.55,0.0008764206295734984,0.0008605104063259952
46,-0.54,-0.54,0.0008958966435640205,0.0008796328597999062
47,-0.53,-0.53,0.0009153726575545427,0.0008987553132738173
48,-0.52,-0.52,0.000934848671545065,0.0009178777667477283
49,-0.51,-0.51,0.0009543246855355872,0.0009370002202216392
50,-0.5,-0.5,0.0009738006995261093,0.0009561390352827288
51,-0.49,-0.49,0.0009932767135166316,0.000975470973486645
52,-0.48,-0.48,0.0010127527275071537,0.0009951643771460024
53,-0.47,-0.47,0.0010322287414976758,0.001016539918143444
54,-0.46,-0.46,0.0010517047554881981,0.0010422249075595878
55,-0.45,-0.45,0.0010711807694787205,0.0010789338159248052
56,-0.44,-0.44,0.0010906567834692426,0.001136981457758593
57,-0.43,-0.43,0.0011102790291616228,0.0012288256752790389
58,-0.42,-0.42,0.0011307573933149186,0.0013690980507422917
59,-0.41,-0.41,0.0011535158011444695,0.001569375272022223
60,-0.4,-0.4,0.001181161193630968,0.0018283957565303377
61,-0.39,-0.39,0.001219979212319233,0.0021358013192790157
62,-0.38,-0.38,0.0012789124257048914,0.002479437177766321
63,-0.37,-0.37,0.0013707869821487752,0.002848998788640614
64,-0.36,-0.36,0.0015084746770633165,0.003234565877793178
65,-0.35,-0.35,0.0017024393848839377,0.003628413578197762
66,-0.34,-0.34,0.0019562618722784586,0.004026927179731831
67,-0.33,-0.33,0.0022660545307580026,0.004427755736586512
68,-0.32,-0.32,0.0026216528453726577,0.004830826841685363
69,-0.31,-0.31,0.003009012109329313,0.005239341514245575
70,-0.3,-0.3,0.0034165956700809553,0.005658050735888603
71,-0.29,-0.29,0.0038371170042768863,0.006100616713636429
72,-0.28,-0.28,0.004263348373228112,0.00658669024129837
73,-0.27,-0.27,0.004692165754986397,0.007138903383031822
74,-0.26,-0.26,0.005123258778101008,0.007787452782245271
75,-0.25,-0.25,0.005557686202725265,0.008558352760533326
76,-0.24,-0.24,0.005999103626562045,0.009471151313423404
77,-0.23,-0.23,0.006453818325524495,0.010511534635264136
78,-0.22,-0.22,0.006936437575142745,0.011661917867569507
79,-0.21,-0.21,0.007465608616140814,0.01290002240896662
80,-0.2,-0.2,0.008068754985157935,0.014212676358967507
81,-0.19,-0.19,0.008773520798672885,0.015593344620232664
82,-0.18,-0.18,0.009603130519174954,0.017050883546807668
83,-0.17,-0.17,0.010575602683911334,0.018605139697114623
84,-0.16,-0.16,0.011687984924402475,0.02028938819552188
85,-0.15,-0.15,0.012926989247826636,0.022143912845170543
86,-0.14,-0.14,0.014275000133365821,0.024207816931041074
87,-0.13,-0.13,0.015702937666000626,0.02650253107450242
88,-0.12,-0.12,0.017203406391222305,0.029005992757560443
89,-0.11,-0.11,0.018783417367950833,0.03171346160060952
90,-0.1,-0.1,0.020460051295249106,0.03462313452191264
91,-0.09,-0.09,0.022266679910721905,0.037745194698912084
92,-0.08,-0.08,0.024245960162320074,0.04110608233269934
93,-0.07,-0.07,0.02643403159654143,0.044739088100825775
94,-0.0599999999999999,-0.0599999999999999,0.028862363546184794,0.04868962495384036
95,-0.0499999999999999,-0.0499999999999999,0.03153322832755402,0.052983529652798754
96,-0.04,-0.04,0.03444163073228704,0.057619745532393706
97,-0.03,-0.03,0.03758560167658649,0.06260534654155218
98,-0.02,-0.02,0.040956522009978534,0.06795634188454644
99,-0.01,-0.01,0.04457850809601114,0.07371213736643205
100,0.0,0.0,0.048490997232825836,0.0799196366903717
101,0.01,0.01,0.052725857539376274,0.08662262301787307
102,0.02,0.02,0.05732255917091532,0.09381599966077094
103,0.03,0.03,0.06230520991174103,0.10152133698257944
104,0.04,0.04,0.06768794432834112,0.10976833330770455
105,0.05,0.05,0.07350146475608675,0.11862290171344382
106,0.0600000000000001,0.0600000000000001,0.07974942202898029,0.12814412165907985
107,0.0700000000000001,0.0700000000000001,0.08646949919048588,0.13832106185163318
108,0.0800000000000001,0.0800000000000001,0.09372614948682341,0.14918866933539016
109,0.0900000000000001,0.0900000000000001,0.10153473449580575,0.1607919697242833
110,0.1,0.1,0.10994070601497512,0.17321441582781003
111,0.11,0.11,0.11897777260408804,0.18647215739997927
112,0.12,0.12,0.12867166491514767,0.20059160246897437
113,0.13,0.13,0.13907980574143133,0.21563047335322244
114,0.14,0.14,0.15025869715160814,0.23165549798944693
115,0.15,0.15,0.162236840294173,0.2487015739242814
116,0.16,0.16,0.17507731238138907,0.2668087088147198
117,0.17,0.17,0.18881397342665046,0.2860285360434958
118,0.18,0.18,0.20350637186967993,0.3064368277262554
119,0.19,0.19,0.21922719834272408,0.3280564848632927
120,0.2,0.2,0.23601137817251408,0.3509469882712035
121,0.21,0.21,0.2539404178316353,0.37517787056403556
122,0.22,0.22,0.2730442923941782,0.40077290476062943
123,0.23,0.23,0.2934110564373587,0.4278084084796016
124,0.24,0.24,0.3151164013862708,0.45631286030993934
125,0.25,0.25,0.33819123589056965,0.486349244247229
126,0.26,0.26,0.3627153801942345,0.5179655069015117
127,0.27,0.27,0.38878571339120255,0.5511854349862226
128,0.28,0.28,0.4164346030888442,0.5860916348981396
129,0.29,0.29,0.44572967102138294,0.6226713457957035
130,0.3,0.3,0.47678369157705386,0.6610048510093557
131,0.31,0.31,0.509613553707199,0.7010781804627789
132,0.32,0.32,0.5443059342008316,0.7429495096539633
133,0.33,0.33,0.5809400444556155,0.7866034621775551
134,0.34,0.34,0.6195441170985178,0.8320718435045962
135,0.35,0.35,0.6602088971339187,0.8793350242320666
136,0.36,0.36,0.7029602194515339,0.9283894603716929
137,0.37,0.37,0.7478627596040707,0.9792083665841044
138,0.38,0.38,0.7949464065693733,1.0317530621308346
139,0.39,0.39,0.844241053978154,1.0859773494536455
140,0.4,0.4,0.8957785553377388,1.1418106612929912
141,0.41,0.41,0.9495534226152184,1.1991630197281153
142,0.42,0.42,1.0055678219265483,1.2579419135157408
143,0.43,0.43,1.0638149878107905,1.3180159115278829
144,0.44,0.44,1.1242308491162434,1.3792367019668519
145,0.45,0.45,1.1867699587605165,1.4414377415382196
146,0.46,0.46,1.2513663155420833,1.5044215278709183
147,0.47,0.47,1.3178993575416558,1.5679631215131016
148,0.48,0.48,1.3862337566431566,1.631810221493331
149,0.49,0.49,1.456213977782062,1.6956787177358217
150,0.5,0.5,1.5276428264118596,1.7592518773101233
151,0.51,0.51,1.6002842248195757,1.8221812916615783
152,0.52,0.52,1.6738651098138249,1.884085244985986
153,0.53,0.53,1.7480678522214985,1.9445486870773903
154,0.54,0.54,1.8225296771277926,2.0031207360136745
155,0.55,0.55,1.8968394548134395,2.0593121746762275
156,0.56,0.56,1.970533865128352,2.112601624905305
157,0.57,0.57,2.0430963788224297,2.1624442502664096
158,0.58,0.58,2.1139546722789864,2.208260833761198
159,0.59,0.59,2.1824820185675313,2.2494432012364283
160,0.6,0.6,2.247988383255368,2.2853701455023017
161,0.61,0.61,2.3097391840374932,2.315391890432416
162,0.62,0.62,2.3669363228509823,2.3388719239801423
163,0.63,0.63,2.418734912915579,2.355146695069885
164,0.64,0.64,2.4642511817656985,2.3635924637351056
165,0.65,0.65,2.502553844790438,2.3635782713947173
166,0.66,0.66,2.5326957879260745,2.3545337513736606
167,0.67,0.67,2.5537156711999116,2.335927434370021
168,0.68,0.68,2.5646478493414744,2.3072871373847614
169,0.69,0.69,2.5645601926321735,2.2682468167869065
170,0.7,0.7,2.552562339299887,2.218536640145245
171,0.71,0.71,2.527838227078177,2.15800973354846
172,0.72,0.72,2.4896778277959974,2.086668225265409
173,0.73,0.73,2.4375136858894035,2.004694251923555
174,0.74,0.74,2.37095835662728,1.9124573706461423
175,0.75,0.75,2.289844699772229,1.810535070009156
176,0.76,0.76,2.194268228478696,1.699730013598846
177,0.77,0.77,2.084639605697788,1.5810843320587398
178,0.78,0.78,1.9617124698117807,1.4558862411892763
179,0.79,0.79,1.8266292299916744,1.3256605421138001
180,0.8,0.8,1.680939144186796,1.1921578251378182
181,0.81,0.81,1.5266221573479195,1.057329330752207
182,0.82,0.82,1.36608356555895,0.9232867438435833
183,0.83,0.83,1.202123475311919,0.7922423834021947
184,0.84,0.84,1.0378807364732514,0.6664408660260016
185,0.85,0.85,0.8767449043059332,0.5480660856602152
186,0.86,0.86,0.7222237648124742,0.4391477429227972
187,0.87,0.87,0.577774320118944,0.34142455266780003
188,0.88,0.88,0.4465915727091421,0.2562445157503425
189,0.89,0.89,0.3313776792514823,0.184470128407725
190,0.9,0.9,0.2341033797518042,0.126331597505346
191,0.91,0.91,0.1557562131161506,0.0814281061911337
192,0.92,0.92,0.09619127556599487,0.04873408788285001
193,0.93,0.93,0.05406441359456327,0.02658668453056493
194,0.94,0.94,0.0269295511115239,0.012873053582175779
195,0.95,0.95,0.011488734325802878,0.005274204438636079
196,0.96,0.96,0.003951985008883204,0.00204127579909995
197,0.97,0.97,0.0009098729207547631,0.0005327426202722534
198,0.98,0.98,0.00043712935781435266,0.00035275487289021523
199,0.99,0.99,0.00021856467890717633,0.00017637743644510762
200,1.0,1.0,0.0,0.0
